Period Type,Period,Release Count
yearly,2023,17
yearly,2024,122
yearly,2025,20
monthly,2023-12,17
monthly,2024-01,18
monthly,2024-02,10
monthly,2024-05,4
monthly,2024-07,44
monthly,2024-08,23
monthly,2024-09,16
monthly,2024-10,1
monthly,2024-11,2
monthly,2024-12,4
monthly,2025-01,5
monthly,2025-02,4
monthly,2025-03,4
monthly,2025-04,2
monthly,2025-05,5
weekly,2023-W48,1
weekly,2023-W51,16
weekly,2024-W03,3
weekly,2024-W04,2
weekly,2024-W05,13
weekly,2024-W07,10
weekly,2024-W21,3
weekly,2024-W22,1
weekly,2024-W28,2
weekly,2024-W30,30
weekly,2024-W31,14
weekly,2024-W32,5
weekly,2024-W33,15
weekly,2024-W34,1
weekly,2024-W36,10
weekly,2024-W37,1
weekly,2024-W39,5
weekly,2024-W43,1
weekly,2024-W45,1
weekly,2024-W47,1
weekly,2024-W51,4
weekly,2025-W04,5
weekly,2025-W07,3
weekly,2025-W09,1
weekly,2025-W11,2
weekly,2025-W13,2
weekly,2025-W15,2
weekly,2025-W20,3
weekly,2025-W22,2
daily,2023-12-01,1
daily,2023-12-22,15
daily,2023-12-23,1
daily,2024-01-16,2
daily,2024-01-20,1
daily,2024-01-22,1
daily,2024-01-23,1
daily,2024-01-30,13
daily,2024-02-13,10
daily,2024-05-22,2
daily,2024-05-24,1
daily,2024-05-28,1
daily,2024-07-09,2
daily,2024-07-22,14
daily,2024-07-23,1
daily,2024-07-24,1
daily,2024-07-25,14
daily,2024-07-31,12
daily,2024-08-02,2
daily,2024-08-08,5
daily,2024-08-14,15
daily,2024-08-21,1
daily,2024-09-03,10
daily,2024-09-11,1
daily,2024-09-26,5
daily,2024-10-23,1
daily,2024-11-08,1
daily,2024-11-19,1
daily,2024-12-18,4
daily,2025-01-22,5
daily,2025-02-14,3
daily,2025-02-24,1
daily,2025-03-14,2
daily,2025-03-27,2
daily,2025-04-09,2
daily,2025-05-12,1
daily,2025-05-15,2
daily,2025-05-29,2
